Rank,CCA3,Country,Capital,Continent,2022 Population
36,AFG,Afghanistan,Kabul,Asia,"41,128,771.00 "
138,ALB,Albania,Tirana,Europe,"2,842,321.00 "
34,DZA,Algeria,Algiers,Africa,"44,903,225.00 "
213,ASM,American Samoa,Pago Pago,Oceania,"44,273.00 "
203,AND,Andorra,Andorra la Vella,Europe,"79,824.00 "
42,AGO,Angola,Luanda,Africa,"35,588,987.00 "
224,AIA,Anguilla,The Valley,North America,"15,857.00 "
201,ATG,Antigua and Barbuda,Saint John’s,North America,"93,763.00 "
33,ARG,Argentina,Buenos Aires,South America,"45,510,318.00 "
140,ARM,Armenia,Yerevan,Asia,"2,780,469.00 "
198,ABW,Aruba,Oranjestad,North America,"106,445.00 "
55,AUS,Australia,Canberra,Oceania,"26,177,413.00 "
99,AUT,Austria,Vienna,Europe,"8,939,617.00 "
91,AZE,Azerbaijan,Baku,Asia,"10,358,074.00 "
176,BHS,Bahamas,Nassau,North America,"409,984.00 "
154,BHR,Bahrain,Manama,Asia,"1,472,233.00 "
8,BGD,Bangladesh,Dhaka,Asia,"171,186,372.00 "
186,BRB,Barbados,Bridgetown,North America,"281,635.00 "
96,BLR,Belarus,Minsk,Europe,"9,534,954.00 "
81,BEL,Belgium,Brussels,Europe,"11,655,930.00 "
177,BLZ,Belize,Belmopan,North America,"405,272.00 "
77,BEN,Benin,Porto-Novo,Africa,"13,352,864.00 "
206,BMU,Bermuda,Hamilton,North America,"64,184.00 "
165,BTN,Bhutan,Thimphu,Asia,"782,455.00 "
80,BOL,Bolivia,Sucre,South America,"12,224,110.00 "
137,BIH,Bosnia and Herzegovina,Sarajevo,Europe,"3,233,526.00 "
144,BWA,Botswana,Gaborone,Africa,"2,630,296.00 "
7,BRA,Brazil,Brasilia,South America,"215,313,498.00 "
221,VGB,British Virgin Islands,Road Town,North America,"31,305.00 "
175,BRN,Brunei,Bandar Seri Begawan,Asia,"449,002.00 "
108,BGR,Bulgaria,Sofia,Europe,"6,781,953.00 "
58,BFA,Burkina Faso,Ouagadougou,Africa,"22,673,762.00 "
78,BDI,Burundi,Bujumbura,Africa,"12,889,576.00 "
73,KHM,Cambodia,Phnom Penh,Asia,"16,767,842.00 "
53,CMR,Cameroon,Yaounde,Africa,"27,914,536.00 "
39,CAN,Canada,Ottawa,North America,"38,454,327.00 "
171,CPV,Cape Verde,Praia,Africa,"593,149.00 "
205,CYM,Cayman Islands,George Town,North America,"68,706.00 "
117,CAF,Central African Republic,Bangui,Africa,"5,579,144.00 "
69,TCD,Chad,N'Djamena,Africa,"17,723,315.00 "
65,CHL,Chile,Santiago,South America,"19,603,733.00 "
1,CHN,China,Beijing,Asia,"1,425,887,337.00 "
28,COL,Colombia,Bogota,South America,"51,874,024.00 "
163,COM,Comoros,Moroni,Africa,"836,774.00 "
223,COK,Cook Islands,Avarua,Oceania,"17,011.00 "
124,CRI,Costa Rica,San José,North America,"5,180,829.00 "
130,HRV,Croatia,Zagreb,Europe,"4,030,358.00 "
85,CUB,Cuba,Havana,North America,"11,212,191.00 "
189,CUW,Curacao,Willemstad,North America,"191,163.00 "
158,CYP,Cyprus,Nicosia,Europe,"1,251,488.00 "
88,CZE,Czech Republic,Prague,Europe,"10,493,986.00 "
115,DNK,Denmark,Copenhagen,Europe,"5,882,261.00 "
160,DJI,Djibouti,Djibouti,Africa,"1,120,849.00 "
204,DMA,Dominica,Roseau,North America,"72,737.00 "
84,DOM,Dominican Republic,Santo Domingo,North America,"11,228,821.00 "
15,COD,DR Congo,Kinshasa,Africa,"99,010,212.00 "
67,ECU,Ecuador,Quito,South America,"18,001,000.00 "
14,EGY,Egypt,Cairo,Africa,"110,990,103.00 "
112,SLV,El Salvador,San Salvador,North America,"6,336,392.00 "
152,GNQ,Equatorial Guinea,Malabo,Africa,"1,674,908.00 "
132,ERI,Eritrea,Asmara,Africa,"3,684,032.00 "
156,EST,Estonia,Tallinn,Europe,"1,326,062.00 "
159,SWZ,Eswatini,Mbabane,Africa,"1,201,670.00 "
12,ETH,Ethiopia,Addis Ababa,Africa,"123,379,924.00 "
231,FLK,Falkland Islands,Stanley,South America,"3,780.00 "
209,FRO,Faroe Islands,Tórshavn,Europe,"53,090.00 "
162,FJI,Fiji,Suva,Oceania,"929,766.00 "
118,FIN,Finland,Helsinki,Europe,"5,540,745.00 "
23,FRA,France,Paris,Europe,"64,626,628.00 "
184,GUF,French Guiana,Cayenne,South America,"304,557.00 "
183,PYF,French Polynesia,Papeete,Oceania,"306,279.00 "
146,GAB,Gabon,Libreville,Africa,"2,388,992.00 "
142,GMB,Gambia,Banjul,Africa,"2,705,992.00 "
131,GEO,Georgia,Tbilisi,Asia,"3,744,385.00 "
19,DEU,Germany,Berlin,Europe,"83,369,843.00 "
47,GHA,Ghana,Accra,Africa,"33,475,870.00 "
219,GIB,Gibraltar,Gibraltar,Europe,"32,649.00 "
90,GRC,Greece,Athens,Europe,"10,384,971.00 "
208,GRL,Greenland,Nuuk,North America,"56,466.00 "
193,GRD,Grenada,Saint George's,North America,"125,438.00 "
178,GLP,Guadeloupe,Basse-Terre,North America,"395,752.00 "
191,GUM,Guam,Hagåtña,Oceania,"171,774.00 "
68,GTM,Guatemala,Guatemala City,North America,"17,843,908.00 "
207,GGY,Guernsey,Saint Peter Port,Europe,"63,301.00 "
75,GIN,Guinea,Conakry,Africa,"13,859,341.00 "
149,GNB,Guinea-Bissau,Bissau,Africa,"2,105,566.00 "
164,GUY,Guyana,Georgetown,South America,"808,726.00 "
82,HTI,Haiti,Port-au-Prince,North America,"11,584,996.00 "
89,HND,Honduras,Tegucigalpa,North America,"10,432,860.00 "
104,HKG,Hong Kong,Hong Kong,Asia,"7,488,865.00 "
94,HUN,Hungary,Budapest,Europe,"9,967,308.00 "
179,ISL,Iceland,Reykjavík,Europe,"372,899.00 "
2,IND,India,New Delhi,Asia,"1,417,173,173.00 "
4,IDN,Indonesia,Jakarta,Asia,"275,501,339.00 "
17,IRN,Iran,Tehran,Asia,"88,550,570.00 "
35,IRQ,Iraq,Baghdad,Asia,"44,496,122.00 "
125,IRL,Ireland,Dublin,Europe,"5,023,109.00 "
202,IMN,Isle of Man,Douglas,Europe,"84,519.00 "
98,ISR,Israel,Jerusalem,Asia,"9,038,309.00 "
25,ITA,Italy,Rome,Europe,"59,037,474.00 "
52,CIV,Ivory Coast,Yamoussoukro,Africa,"28,160,542.00 "
139,JAM,Jamaica,Kingston,North America,"2,827,377.00 "
11,JPN,Japan,Tokyo,Asia,"123,951,692.00 "
195,JEY,Jersey,Saint Helier,Europe,"110,778.00 "
83,JOR,Jordan,Amman,Asia,"11,285,869.00 "
66,KAZ,Kazakhstan,Nursultan,Asia,"19,397,998.00 "
27,KEN,Kenya,Nairobi,Africa,"54,027,487.00 "
192,KIR,Kiribati,Tarawa,Oceania,"131,232.00 "
129,KWT,Kuwait,Kuwait City,Asia,"4,268,873.00 "
110,KGZ,Kyrgyzstan,Bishkek,Asia,"6,630,623.00 "
103,LAO,Laos,Vientiane,Asia,"7,529,475.00 "
151,LVA,Latvia,Riga,Europe,"1,850,651.00 "
119,LBN,Lebanon,Beirut,Asia,"5,489,739.00 "
147,LSO,Lesotho,Maseru,Africa,"2,305,825.00 "
121,LBR,Liberia,Monrovia,Africa,"5,302,681.00 "
107,LBY,Libya,Tripoli,Africa,"6,812,341.00 "
216,LIE,Liechtenstein,Vaduz,Europe,"39,327.00 "
141,LTU,Lithuania,Vilnius,Europe,"2,750,055.00 "
168,LUX,Luxembourg,Luxembourg,Europe,"647,599.00 "
